epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,11599.9,0.32785,0.28489,0.77953,0.99618,0.99633,0.99459,0.96009,0.29213,0.26331,0.8978,0.000976293,0.000976293,0.000976293
18,12486.5,0.33984,0.28168,0.77981,0.99703,0.99643,0.99487,0.97104,0.25551,0.24558,0.89664,0.000947999,0.000947999,0.000947999
19,13143.2,0.32004,0.26434,0.7788,0.99587,0.99529,0.99469,0.98034,0.22871,0.23581,0.89437,0.000919704,0.000919704,0.000919704
20,13915.5,0.32763,0.2646,0.77919,0.99596,0.99526,0.99488,0.97648,0.23793,0.24357,0.89391,0.00089141,0.00089141,0.00089141
21,14615.7,0.29718,0.25436,0.77691,0.99684,0.99646,0.99485,0.98265,0.20947,0.22173,0.8942,0.000863116,0.000863116,0.000863116
22,15362.4,0.29717,0.24717,0.77529,0.99743,0.99743,0.9948,0.988,0.20558,0.21503,0.89398,0.000834822,0.000834822,0.000834822
23,15962.2,0.2959,0.24601,0.77588,0.99674,0.99734,0.99491,0.98592,0.20657,0.20726,0.89487,0.000806528,0.000806528,0.000806528
24,16595.9,0.28673,0.2389,0.77702,0.99652,0.99728,0.99475,0.98528,0.21366,0.21304,0.89524,0.000778233,0.000778233,0.000778233
25,17259.7,0.29597,0.24176,0.77453,0.99544,0.99655,0.99475,0.98569,0.21539,0.21332,0.89311,0.000749939,0.000749939,0.000749939
26,17901.9,0.28338,0.23231,0.77413,0.99809,0.9981,0.9949,0.99015,0.18681,0.19846,0.89372,0.000721645,0.000721645,0.000721645
27,18352.7,0.27231,0.22484,0.7744,0.98719,0.98771,0.99401,0.97739,0.23403,0.22597,0.89679,0.000693351,0.000693351,0.000693351
28,18907.3,0.27377,0.2236,0.77396,0.99625,0.99629,0.99478,0.9784,0.24631,0.22031,0.89751,0.000665057,0.000665057,0.000665057
29,19396.7,0.26086,0.21535,0.77294,0.99798,0.99766,0.99487,0.98946,0.1885,0.1823,0.89481,0.000636762,0.000636762,0.000636762
30,19959.2,0.26396,0.22939,0.77247,0.99747,0.99717,0.9949,0.98696,0.19825,0.18926,0.89477,0.000608468,0.000608468,0.000608468
31,20436.4,0.25282,0.21329,0.77397,0.99752,0.99745,0.99489,0.98831,0.19276,0.1874,0.89478,0.000580174,0.000580174,0.000580174
32,20994.8,0.24886,0.20661,0.77111,0.99726,0.99689,0.99488,0.98777,0.19994,0.19607,0.8951,0.00055188,0.00055188,0.00055188
33,21514.6,0.24431,0.20368,0.77394,0.99826,0.99803,0.99486,0.99165,0.16741,0.17598,0.89451,0.000523586,0.000523586,0.000523586
34,22147.7,0.24688,0.20688,0.77194,0.99857,0.99826,0.99495,0.98675,0.20412,0.18791,0.89596,0.000495291,0.000495291,0.000495291
35,22667.4,0.24366,0.20408,0.76968,0.99795,0.9974,0.99482,0.99213,0.16545,0.17136,0.89441,0.000466997,0.000466997,0.000466997
36,23231.9,0.23001,0.19762,0.76989,0.99799,0.99833,0.99489,0.99019,0.17682,0.17086,0.8951,0.000438703,0.000438703,0.000438703
37,23809,0.22825,0.19347,0.76921,0.99808,0.9975,0.99487,0.98885,0.19138,0.17513,0.89489,0.000410409,0.000410409,0.000410409
38,24327.9,0.22844,0.1944,0.76931,0.99771,0.99833,0.99492,0.98906,0.19463,0.17536,0.89569,0.000382115,0.000382115,0.000382115
39,24782.6,0.22602,0.19178,0.7693,0.99718,0.99856,0.99492,0.98746,0.18591,0.17195,0.89543,0.00035382,0.00035382,0.00035382
40,25294.3,0.22006,0.18877,0.76987,0.9981,0.99799,0.99495,0.99215,0.15799,0.16419,0.89439,0.000325526,0.000325526,0.000325526
41,25605,0.22179,0.18283,0.76972,0.99826,0.99827,0.99488,0.99224,0.16387,0.1569,0.89269,0.000297232,0.000297232,0.000297232
42,25929.7,0.20323,0.17283,0.76753,0.99822,0.99873,0.99486,0.99209,0.16508,0.15921,0.89262,0.000268938,0.000268938,0.000268938
43,26235.2,0.19305,0.16551,0.76884,0.998,0.99773,0.99491,0.99312,0.14671,0.1604,0.89148,0.000240644,0.000240644,0.000240644
44,26561.8,0.19207,0.16313,0.76695,0.99877,0.99852,0.99493,0.9908,0.17193,0.15694,0.89267,0.000212349,0.000212349,0.000212349
45,26879.4,0.18502,0.15823,0.7663,0.99882,0.99847,0.99495,0.99295,0.16739,0.14531,0.89243,0.000184055,0.000184055,0.000184055
46,27216.5,0.18234,0.1551,0.76655,0.99914,0.99887,0.99494,0.99265,0.15128,0.14058,0.89214,0.000155761,0.000155761,0.000155761
47,27538.4,0.17923,0.15634,0.76596,0.99918,0.99881,0.99495,0.99378,0.14317,0.14179,0.89183,0.000127467,0.000127467,0.000127467
48,27890.1,0.17668,0.15062,0.76766,0.99893,0.99847,0.99494,0.99308,0.14846,0.14679,0.89224,9.91726e-05,9.91726e-05,9.91726e-05
49,28197.3,0.17114,0.15216,0.76635,0.99878,0.99881,0.99493,0.99354,0.1425,0.14798,0.89236,7.08784e-05,7.08784e-05,7.08784e-05
50,28543.6,0.16871,0.14651,0.76713,0.99872,0.99859,0.99492,0.99356,0.14371,0.14592,0.89226,4.25842e-05,4.25842e-05,4.25842e-05
